Date,Open,High,Low,Close,Volume
2025/01/21 16:00:00,15.38,16.22,15.2,16.16,1723400
2025/01/22 16:00:00,16.1,16.75,15.99,16.31,1397737
2025/01/23 16:00:00,16.1,16.13,14.19,14.9,3457140
2025/01/24 16:00:00,14.95,15.16,14.58,14.81,1846758
2025/01/27 16:00:00,14.61,15.04,14.44,14.85,1342144
2025/01/28 16:00:00,14.99,15,13.76,14.84,1778800
2025/01/29 16:00:00,14.96,15.17,14.54,14.84,1688400
2025/01/30 16:00:00,15.24,15.6,14.88,15.08,2276052
2025/01/31 16:00:00,15.18,15.5,14.8,15,1822600
2025/02/03 16:00:00,14.5,14.77,14.15,14.45,1662337
2025/02/04 16:00:00,14.25,14.67,14.01,14.41,2031728
2025/02/05 16:00:00,14.55,15.17,14.28,14.7,3161365
2025/02/06 16:00:00,14.8,15.08,14.53,14.65,2158806
2025/02/07 16:00:00,14.68,15.2,13.78,14.25,2557724
2025/02/10 16:00:00,13.43,13.46,11.9,12.06,6636345
2025/02/11 16:00:00,11.98,12.77,11.68,11.82,3607333
2025/02/12 16:00:00,11.59,12.26,11.55,12,4211000
2025/02/13 16:00:00,11.15,12.05,10.8,11.94,5940026
2025/02/14 16:00:00,12.01,13.07,11.87,12.32,4358130
2025/02/18 16:00:00,12.58,13.12,11.93,12.07,3594710
2025/02/19 16:00:00,11.82,12.36,11.43,12.1,2875282
2025/02/20 16:00:00,12.13,12.17,11.49,11.56,2422225
2025/02/21 16:00:00,11.61,11.85,10.83,10.9,2849625
2025/02/24 16:00:00,10.89,11.41,10.63,11.29,3513000
2025/02/25 16:00:00,11.26,11.48,10.93,11.11,3665500
2025/02/26 16:00:00,11.6,11.9,11.37,11.65,3014600
2025/02/27 16:00:00,11.44,11.57,10.74,10.78,2589800
2025/02/28 16:00:00,10.57,10.8,10.4,10.69,2895600
2025/03/03 16:00:00,10.69,10.73,9.77,9.85,3352100
2025/03/04 16:00:00,9.49,10.75,9.27,10.52,5438548
2025/03/05 16:00:00,10.68,11.51,10.36,10.93,3842420
2025/03/06 16:00:00,10.61,11.56,10.61,11.47,4344300
2025/03/07 16:00:00,11.45,11.79,11.06,11.7,3310453
2025/03/10 16:00:00,11.5,11.61,10.53,10.59,3074700
2025/03/11 16:00:00,10.58,11.25,10.37,10.81,3800620
2025/03/12 16:00:00,10.89,10.98,10.52,10.85,2489286
2025/03/13 16:00:00,10.75,10.84,9.86,9.88,2257703
2025/03/14 16:00:00,10.06,10.42,10.01,10.34,2791700
2025/03/17 16:00:00,10.38,10.87,10.28,10.76,2045500
2025/03/18 16:00:00,10.57,10.64,10.26,10.51,2697947
2025/03/19 16:00:00,10.48,10.75,10.26,10.29,2649800
2025/03/20 16:00:00,10.18,10.33,9.83,9.95,4056241
2025/03/21 16:00:00,9.83,10.43,9.65,10.39,3434946
2025/03/24 16:00:00,10.52,10.6,10.32,10.39,2801014
2025/03/25 16:00:00,10.37,10.49,9.7,9.75,3231235
2025/03/26 16:00:00,9.75,9.83,9.32,9.58,3843344
2025/03/27 16:00:00,9.51,9.65,9.31,9.41,2953006
2025/03/28 16:00:00,9.35,9.47,8.92,9.16,2665900
2025/03/31 16:00:00,8.88,8.99,8.67,8.73,2397772
2025/04/01 16:00:00,8.66,9.03,8.54,8.67,2456239
2025/04/02 16:00:00,8.57,9.23,8.53,8.85,3163322
2025/04/03 16:00:00,8.36,8.52,7.94,7.97,3207446
2025/04/04 16:00:00,7.68,7.78,7.19,7.47,3859771
2025/04/07 16:00:00,7.13,7.87,6.78,7.58,4195143
2025/04/08 16:00:00,7.98,8.15,6.98,7.14,3338400
2025/04/09 16:00:00,6.94,8.86,6.94,8.67,5756348
2025/04/10 16:00:00,8.29,8.35,7.52,7.7,3934246
2025/04/11 16:00:00,7.75,8.06,7.43,8.01,3349049
2025/04/14 16:00:00,8.28,8.52,8.11,8.28,3360051
2025/04/15 16:00:00,8.15,8.41,7.97,8.16,3053755
2025/04/16 16:00:00,8.07,8.22,7.86,8.03,2980836
2025/04/17 16:00:00,7.74,7.78,7.33,7.51,6488638
2025/04/21 16:00:00,7.39,7.7,7.25,7.68,6988501
2025/04/22 16:00:00,7.86,8.01,7.74,7.96,4661000
2025/04/23 16:00:00,8.42,8.67,7.94,8.02,4434700
2025/04/24 16:00:00,8.27,8.32,7.86,8.31,5770500
2025/04/25 16:00:00,8.26,8.34,7.95,8.3,3029711
2025/04/28 16:00:00,8.48,8.69,8.27,8.48,3178700
2025/04/29 16:00:00,8.55,8.59,8.28,8.38,2565034
2025/04/30 16:00:00,8.12,8.29,8.04,8.27,2785986
2025/05/01 16:00:00,8.3,8.38,8.07,8.1,2997700
2025/05/02 16:00:00,8.43,8.59,8.23,8.43,3188300
2025/05/05 16:00:00,8.39,8.63,8.24,8.61,3365212
2025/05/06 16:00:00,8.38,8.43,8.06,8.1,3544115
2025/05/07 16:00:00,8.17,8.36,7.72,8.31,4169013
2025/05/08 16:00:00,8.4,8.88,8.25,8.63,4978815
2025/05/09 16:00:00,9.71,10.15,8.33,8.77,7830437
2025/05/12 16:00:00,9.3,9.74,9.06,9.49,4036735
2025/05/13 16:00:00,9.61,9.79,9.44,9.65,4149200
2025/05/14 16:00:00,9.71,9.78,9.08,9.12,4666509
2025/05/15 16:00:00,9.01,9.25,8.7,9.2,3173558
2025/05/16 16:00:00,9.22,9.42,8.95,9.39,3013489
2025/05/19 16:00:00,9.12,9.2,8.76,8.93,4292800
2025/05/20 16:00:00,8.91,9.17,8.74,9.08,2045300
2025/05/21 16:00:00,8.84,8.86,8.3,8.32,2318125
2025/05/22 16:00:00,8.23,8.56,8.12,8.54,2617900
2025/05/23 16:00:00,8.24,8.38,8.07,8.17,1800746
2025/05/27 16:00:00,8.47,8.63,8.31,8.59,2654800
2025/05/28 16:00:00,8.61,9.08,8.41,8.86,2850180
2025/05/29 16:00:00,8.94,9.39,8.81,9.34,4306729
2025/05/30 16:00:00,9.22,9.59,9.04,9.53,4649200
2025/06/02 16:00:00,9.61,9.79,9.42,9.45,5475425
2025/06/03 16:00:00,9.47,9.48,8.96,9.11,4363074
2025/06/04 16:00:00,9.04,9.47,9.04,9.34,3490022
2025/06/05 16:00:00,9.42,9.65,8.95,9.11,3397100
2025/06/06 16:00:00,9.38,9.83,9.21,9.42,5025800
2025/06/09 16:00:00,9.63,10.18,9.3,10.09,6574710
2025/06/10 16:00:00,10.2,10.74,10.12,10.65,5382603
2025/06/11 16:00:00,10.85,11.12,10.7,10.78,4229058
2025/06/12 16:00:00,10.6,10.81,10.43,10.58,3272990
2025/06/13 16:00:00,10.35,10.67,10.24,10.42,2237963
2025/06/16 16:00:00,10.53,11.18,10.17,11.01,3824900
2025/06/17 16:00:00,10.87,10.94,10.54,10.56,2712438
2025/06/18 16:00:00,10.62,11.1,10.38,10.87,3862000
2025/06/20 16:00:00,11.02,11.02,10.51,10.81,3655248
2025/06/23 16:00:00,10.67,10.97,10.48,10.79,3104935
2025/06/24 16:00:00,11.01,11.15,10.77,10.89,3084978
2025/06/25 16:00:00,10.96,12.03,10.63,11.66,6484893
2025/06/26 16:00:00,11.65,12.11,11.37,11.7,4665001
2025/06/27 16:00:00,11.83,11.83,11.35,11.73,17909500
2025/06/30 16:00:00,11.75,12.05,11.57,11.58,3126827
2025/07/01 16:00:00,11.48,12.41,11.25,12.06,3510400
2025/07/02 16:00:00,12.07,13.06,11.9,13.01,4041793
2025/07/03 16:00:00,13.01,13.14,12.75,13.01,2002826
2025/07/07 16:00:00,12.91,12.97,11.73,11.92,4112544
2025/07/08 16:00:00,11.96,12.34,11.85,12.25,3004900
2025/07/09 16:00:00,12.28,12.66,11.89,12.1,2970018
2025/07/10 16:00:00,12.27,12.74,12.13,12.62,3019696
2025/07/11 16:00:00,12.37,13,12.23,12.8,2958857
2025/07/14 16:00:00,12.66,12.89,12.36,12.47,3017301
2025/07/15 16:00:00,12.6,12.77,12.13,12.22,2542087
2025/07/16 16:00:00,12.45,12.63,12.09,12.37,2794872
2025/07/17 16:00:00,12.43,12.58,12.3,12.45,2083523
2025/07/18 16:00:00,12.6,12.66,12.06,12.15,1892909
2025/07/21 16:00:00,11.98,12.07,11.45,11.54,3191147
2025/07/22 16:00:00,11.73,13.04,11.6,12.99,3770806
2025/07/23 16:00:00,13.34,14.16,13.03,13.62,4027113
2025/07/24 16:00:00,13.47,13.91,13.26,13.73,3263365
2025/07/25 16:00:00,13.81,14.31,13.35,14.11,3318572
2025/07/28 16:00:00,14.15,14.94,13.89,14.64,3780620
2025/07/29 16:00:00,14.67,14.73,13.76,14,3399500
2025/07/30 16:00:00,14.15,14.32,13.59,13.91,2610674
2025/07/31 16:00:00,13.7,14.29,13.29,13.45,3930226
2025/08/01 16:00:00,13.1,13.33,12.75,13.08,2652200
